User ID,date,login_count,success_rate,night_login_ratio,unique_ips,unique_countries,unique_asns,unique_devices,mean_logins,std_logins,mean_night_ratio,mean_unique_ips,mean_unique_countries,mean_unique_devices,z_logins,ip_ratio,country_ratio,device_ratio,night_deviation,anomaly_score,ato,attack_ip,alert_reason
-1105875135061296654,2020-06-09,7,1.0,0.0,5,1,2,2,1.8857142857142857,1.3009369603443188,0.2952380952380952,1.457142857142857,1.0857142857142856,1.2285714285714286,3.931232542530052,3.431372549019608,0.9210526315789475,1.627906976744186,-0.2952380952380952,0.14114836715240364,False,True,login volume far above baseline; multiple new IP addresses; new devices observed
-3755286854393492752,2020-12-09,4,0.75,0.0,3,2,3,2,1.185483870967742,0.5464882043203829,0.2620967741935484,1.0483870967741935,1.0241935483870968,1.0241935483870968,5.150186420825702,2.8615384615384616,1.952755905511811,1.952755905511811,-0.2620967741935484,0.13921683197536494,False,False,login volume far above baseline; multiple new IP addresses; logins from multiple countries; new devices observed
8105329987683138826,2020-06-26,6,0.8333333333333334,0.16666666666666666,4,1,3,2,1.443298969072165,0.9786158610182167,0.36573392243495334,1.2268041237113403,1.0515463917525774,1.0309278350515463,4.656271385369476,3.2605042016806722,0.9509803921568627,1.9400000000000002,-0.19906725576828668,0.13900470547316912,False,False,login volume far above baseline; multiple new IP addresses; new devices observed
8105329987683138826,2020-08-04,7,1.0,0.14285714285714285,5,1,3,2,1.443298969072165,0.9786158610182167,0.36573392243495334,1.2268041237113403,1.0515463917525774,1.0309278350515463,5.678122797995809,4.07563025210084,0.9509803921568627,1.9400000000000002,-0.2228767795778105,0.13900470547316912,False,False,login volume far above baseline; multiple new IP addresses; new devices observed
3948716539449848274,2020-09-26,2,1.0,0.0,2,2,2,2,1.0588235294117647,0.24253562503633297,0.6470588235294118,1.0588235294117647,1.0588235294117647,1.0588235294117647,3.8805700005813275,1.8888888888888888,1.8888888888888888,1.8888888888888888,-0.6470588235294118,0.13873082509474566,False,False,login volume far above baseline; logins from multiple countries; new devices observed
9032744688944604344,2020-05-19,8,1.0,1.0,6,2,3,2,1.3714285714285714,1.238730713881191,0.18095238095238095,1.1714285714285715,1.0285714285714285,1.0857142857142856,5.351099600818639,5.121951219512195,1.9444444444444446,1.842105263157895,0.819047619047619,0.138728151146717,False,False,login volume far above baseline; multiple new IP addresses; logins from multiple countries; new devices observed; unusual nighttime activity
-2475661498283514452,2020-10-13,3,0.6666666666666666,0.3333333333333333,2,2,2,2,1.1560283687943262,0.5110729322186862,0.7825059101654847,1.0212765957446808,1.0212765957446808,1.0141843971631206,3.6080400955702445,1.9583333333333335,1.9583333333333335,1.972027972027972,-0.44917257683215134,0.13846969592281744,False,False,login volume far above baseline; logins from multiple countries; new devices observed
-2475661498283514452,2020-06-18,3,0.6666666666666666,0.3333333333333333,2,2,2,2,1.1560283687943262,0.5110729322186862,0.7825059101654847,1.0212765957446808,1.0212765957446808,1.0141843971631206,3.6080400955702445,1.9583333333333335,1.9583333333333335,1.972027972027972,-0.44917257683215134,0.13846969592281744,False,False,login volume far above baseline; logins from multiple countries; new devices observed
251549835605001850,2020-05-13,7,0.42857142857142855,0.0,3,1,3,2,1.5416666666666667,1.3506573815438316,0.08333333333333333,1.1666666666666667,1.0833333333333333,1.0833333333333333,4.04124199661526,2.571428571428571,0.9230769230769231,1.8461538461538463,-0.08333333333333333,0.13819600078543715,False,False,login volume far above baseline; multiple new IP addresses; new devices observed
4980738343515589923,2020-09-01,6,0.3333333333333333,0.0,3,2,3,2,1.2307692307692308,0.9922778767136677,0.19230769230769232,1.0769230769230769,1.0384615384615385,1.0384615384615385,4.806345965331827,2.785714285714286,1.9259259259259258,1.9259259259259258,-0.19230769230769232,0.1379350482301781,False,False,login volume far above baseline; multiple new IP addresses; logins from multiple countries; new devices observed
